Code_geo,nom_projet,nom_rue,nb_unites,unites_typ,hlm_famill,hlm_pa,hlm_autres,projettype,type_prog,an_orig,an_effect,arrond,villelie,qr,localisati,aired_id,longitude,latitude,xnad83,ynad83
"633",2e Avenue,2e,"24",logement,"0","0","0",SHDM,Autres,"1989",,Rosemont–La Petite-Patrie,,"18",Aire de diffusion,"24662025",-73.574728985768402,45.545047994900003,298964.570198147965129,5045017.597559279762208
"634",2e Avenue,2e,"23",logement,"0","0","0",SHDM,Autres,"1989",,Rosemont–La Petite-Patrie,,"18",Aire de diffusion,"24662025",-73.574728985768402,45.545047994900003,298964.570198147965129,5045017.597559279762208
"635",2e Avenue,2e,"30",logement,"0","0","0",SHDM,Autres,"1989",,Rosemont–La Petite-Patrie,,"18",Aire de diffusion,"24662025",-73.574728985768402,45.545047994900003,298964.570198147965129,5045017.597559279762208
"636",Résidence Alléluia,6e,"76",logement,"0","0","0",SHDM,Autres,"1986",,Rosemont–La Petite-Patrie,,"18",Aire de diffusion,"24661990",-73.576801376452394,45.547997562026801,298803.055195628840011,5045345.539661640301347
"637",Adam-Aird,Adam,"5",logement,"0","0","0",SHDM,Autres,"1994",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661734",-73.535995546907202,45.554647273466202,301989.661635128722992,5046082.292787760496140
"638",Adam-Aird,Aird,"6",logement,"0","0","0",SHDM,Autres,"1994",,Mercier–Hochelaga-Maisonneuve,,"28",Aire de diffusion,"24661734",-73.535995546907202,45.554647273466202,301989.661635128722992,5046082.292787760496140
"639",Barclay 2675-5110,Barclay,"10",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"42",Aire de diffusion,"24661343",-73.628716915938895,45.510971637342301,294742.695140805444680,5041236.001268899068236
"640",Barclay 2675-5110,Barclay,"10",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"42",Aire de diffusion,"24661343",-73.628716915938895,45.510971637342301,294742.695140805444680,5041236.001268899068236
"641",Barclay 2675-5110,Barclay,"10",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"42",Aire de diffusion,"24661343",-73.628716915938895,45.510971637342301,294742.695140805444680,5041236.001268899068236
"642",Barclay 2675-5110,Barclay,"10",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"42",Aire de diffusion,"24661343",-73.628716915938895,45.510971637342301,294742.695140805444680,5041236.001268899068236
"643",Barclay 2675-5110,Barclay,"10",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"42",Aire de diffusion,"24661310",-73.630754564073598,45.508437726758103,294583.024940214294475,5040954.663395540788770
"644",Barclay 2675-5110,Barclay,"10",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"42",Aire de diffusion,"24661309",-73.628814632831904,45.507332475023297,294734.411407558887731,5040831.591185628436506
"645",Barclay 2675-5110,Barclay,"10",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"42",Aire de diffusion,"24661310",-73.630754564073598,45.508437726758103,294583.024940214294475,5040954.663395540788770
"646",Barclay 4180,Barclay,"10",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660679",-73.638288011807802,45.498884879850699,293992.544430265319534,5039894.036634229123592
"647",Maison Légaré-Barclay,Barclay,"14",logement,"0","0","0",OBNL,Autres,"1991","2008",Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24661319",-73.636330218351802,45.501070730105802,294145.961742147570476,5040136.689583821222186
"648",Maison Légaré-Barclay,Barclay,"14",logement,"0","0","0",OBNL,Autres,"1991","2008",Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660679",-73.638288011807802,45.498884879850699,293992.544430265319534,5039894.036634229123592
"649",Barclay 4081,Barclay,"14",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660678",-73.639212339910799,45.499300490542701,293920.386578000150621,5039940.348391639068723
"650",Barclay 4180,Barclay,"14",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660679",-73.638288011807802,45.498884879850699,293992.544430265319534,5039894.036634229123592
"651",Barclay 2675-5110,Barclay,"14",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660671",-73.640096014069101,45.496871210874900,293850.855565376812592,5039670.501649629324675
"652",C.h. Soksay,Barclay,"14",logement,"0","0","0",Coop,Autres,"1993","2008",Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660617",-73.641730775680401,45.495033255163200,293722.731122590135783,5039466.473096199333668
"653",Barclay 2675-5110,Barclay,"14",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660617",-73.641730775680401,45.495033255163200,293722.731122590135783,5039466.473096199333668
"654",Barclay 2675-5110,Barclay,"14",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660616",-73.643643192639203,45.494698420229099,293573.195598663412966,5039429.528251930139959
"655",Barclay 2675-5110,Barclay,"14",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660671",-73.640096014069101,45.496871210874900,293850.855565376812592,5039670.501649629324675
"656",C.h. Cactus vert,Barclay,"20",logement,"0","0","0",Coop,Autres,"1991","2007",Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24661319",-73.636330218351802,45.501070730105802,294145.961742147570476,5040136.689583821222186
"657",C.h. Cactus vert,Barclay,"20",logement,"0","0","0",Coop,Autres,"1991","2007",Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24661319",-73.636330218351802,45.501070730105802,294145.961742147570476,5040136.689583821222186
"658",Barclay 2675-5110,Barclay,"20",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660679",-73.638288011807802,45.498884879850699,293992.544430265319534,5039894.036634229123592
"659",Barclay 2675-5110,Barclay,"20",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660671",-73.640096014069101,45.496871210874900,293850.855565376812592,5039670.501649629324675
"660",Barclay 2675-5110,Barclay,"20",logement,"0","0","0",SHDM,Autres,"1990",,Côte-des-Neiges–Notre-Dame-de-Grâce,,"43",Aire de diffusion,"24660617",-73.641730775680401,45.495033255163200,293722.731122590135783,5039466.473096199333668
